css-4rbku5 href,css-4rbku5 href 2,css-901oao 2,UserId,css-901oao 4,Tweet_Url,Date-Time,Tweets,css-4rbku5 href 5,css-9pa8cd src 2,Comments,Retweets,Likes,css-4rbku5 href 6,r-4qtqp9 src 2
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1596232762780160000,"Nov 26, 2022",if USA Lose i become a Messi fan,,,1.4K,3.1K,130K,https://twitter.com/ishowspeedsui/status/1596232762780160000/analytics,
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1596216264338595840,"Nov 26, 2022",USA IS BEATING ENGLAND,,,880,1.3K,47K,https://twitter.com/ishowspeedsui/status/1596216264338595840/analytics,
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1595843065448742918,"Nov 24, 2022",who ever this guys is don’t ever disrespect the goat Ronaldo like that ever in ur life stop acting tuff on twitter,https://twitter.com/ishowspeedsui/status/1595843065448742918/photo/1,https://pbs.twimg.com/media/FiWSznDXoAInl3z?format=jpg&name=small,1.4K,5.6K,126K,https://twitter.com/ishowspeedsui/status/1595843065448742918/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f621.svg
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1595835017598566400,"Nov 24, 2022",ronaldo is the goat i done ever wanna hear nothing about messi,,,2K,7.2K,114K,https://twitter.com/ishowspeedsui/status/1595835017598566400/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f1f5-1f1f9.svg
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1595110043074330625,"Nov 22, 2022",i can’t believe ronaldo is gone,,,2.1K,5.9K,200K,https://twitter.com/ishowspeedsui/status/1595110043074330625/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f494.svg
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1595082534819348481,"Nov 22, 2022",who was more offsides now,https://twitter.com/ishowspeedsui/status/1595082534819348481/photo/1,https://pbs.twimg.com/media/FiLfHHfWYAAW5bU?format=jpg&name=small,1.3K,10K,163K,https://twitter.com/ishowspeedsui/status/1595082534819348481/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f923.svg
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1595080519808847872,"Nov 22, 2022",i woke up and seen messi lost to saudi arabia jajajajajajajajajajaj,,,1.5K,9.9K,200K,https://twitter.com/ishowspeedsui/status/1595080519808847872/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f923.svg
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,@ishowspeedsui,·,Response,https://twitter.com/ishowspeedsui/status/1593715108878118913,"Nov 19, 2022",1.9K,https://twitter.com/ishowspeedsui/status/1593715108878118913/photo/1,https://pbs.twimg.com/media/Fh4DcJ0WQAAGaDz?format=jpg&name=medium,6.6K,184K,,https://twitter.com/ishowspeedsui/status/1593715108878118913/analytics,
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1593715184669016067,"Nov 19, 2022",,https://twitter.com/ishowspeedsui/status/1593715184669016067/photo/1,https://pbs.twimg.com/media/Fh4DgthXgAAKZxZ?format=jpg&name=medium,254,933,56K,https://twitter.com/ishowspeedsui/status/1593715184669016067/analytics,
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1591825597097025539,"Nov 13, 2022",i went to a ronaldo game and he’s not here,,,2.1K,4.8K,170K,https://twitter.com/ishowspeedsui/status/1591825597097025539/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f494.svg
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,@ishowspeedsui,·,Everyone,https://twitter.com/ishowspeedsui/status/1589006641441406978,"Nov 6, 2022",6.1K,,https://pbs.twimg.com/card_img/1720237624441581568/svhKE5WC?format=jpg&name=360x360,9K,105K,120K,https://twitter.com/ishowspeedsui/status/1589006641441406978/analytics,
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1591494689001193474,"Nov 12, 2022",let’s go baby,,,666,776,35K,https://twitter.com/ishowspeedsui/status/1591494689001193474/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f44d.svg
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1591494540661297156,"Nov 12, 2022",so good,https://twitter.com/ishowspeedsui/status/1591494540661297156/photo/1,https://pbs.twimg.com/media/FhYf2OJXkAQ_WIP?format=jpg&name=small,1K,5K,184K,https://twitter.com/ishowspeedsui/status/1591494540661297156/analytics,
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1591165633282347008,"Nov 12, 2022",january 21st,,,1.8K,11K,216K,https://twitter.com/ishowspeedsui/status/1591165633282347008/analytics,
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1590788123822546944,"Nov 11, 2022",i’m crying right now i flew all the way to manchester to see ronaldo and he not playing,,,2.8K,11K,281K,https://twitter.com/ishowspeedsui/status/1590788123822546944/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f972.svg
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1585733102160457728,"Oct 28, 2022",SEWEYYYY,,,628,2.8K,68K,https://twitter.com/ishowspeedsui/status/1585733102160457728/analytics,
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1585332194637410305,"Oct 26, 2022",,https://twitter.com/ishowspeedsui/status/1585332194637410305/photo/1,https://pbs.twimg.com/media/FgA7OYwXwAwy_jJ?format=jpg&name=900x900,1K,6.6K,243K,https://twitter.com/ishowspeedsui/status/1585332194637410305/analytics,
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1582460511987257345,"Oct 19, 2022",join this,https://twitter.com/i/communities/1578802790318718977,https://pbs.twimg.com/community_banner_img/1623437681383309313/5h2raNH_?format=jpg&name=small,201,233,10K,https://twitter.com/ishowspeedsui/status/1582460511987257345/analytics,
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1582083129119977473,"Oct 18, 2022",i’m going to win,https://twitter.com/ishowspeedsui/status/1582083129119977473/photo/1,https://pbs.twimg.com/media/FfSwOHAXwA8THcy?format=jpg&name=small,1.4K,19K,289K,https://twitter.com/ishowspeedsui/status/1582083129119977473/analytics,
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1581710710546931712,"Oct 16, 2022","I have no girlfriend, friends, family all i do is stream I have officially decided to dedicate my life to defending Cristian Ronaldo. My one and only goal is to make sure everyone calls him the GOAT. I don’t care about my personal life as long as Ronaldo is known as the GOAT",,,3K,18K,276K,https://twitter.com/ishowspeedsui/status/1581710710546931712/analytics,
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1581699379291099138,"Oct 16, 2022",jajaja man city u suck,,,721,2.7K,71K,https://twitter.com/ishowspeedsui/status/1581699379291099138/analytics,
https://twitter.com/ishowspeedsui,https://twitter.com/ishowspeedsui,Speed,@ishowspeedsui,·,https://twitter.com/ishowspeedsui/status/1580966787407294464,"Oct 14, 2022",this the reason u don’t get girls now if that was me i’m licking all of that,,,523,1.4K,31K,https://twitter.com/ishowspeedsui/status/1580966787407294464/analytics,
