userId_url,profile_photo,css-4rbku5 href 2,name,UserId,Tweets,Tweet_Url,date-time,css-rs45kua89,attached_media,Comments,Retweets,Likes,css-4rbku5 href 6,comments,css-9pa8cd src 3,css-4rbku5 href 7,css-4rbku5 href 9,r-1p0dtai src,retweets,likes,impressions,r-4qtqp9 src 2
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,What's been your favourite Sidemen moment of the last 10 years?,https://twitter.com/Sidemen/status/1715005262707191997,Oct 19,,https://pbs.twimg.com/media/F8zr4gRXgAAg5AE?format=jpg&name=360x360,208,262,8.3K,https://twitter.com/Sidemen/status/1715005262707191997/analytics,573K,https://pbs.twimg.com/media/F8zr5tDXMAAM5i7?format=jpg&name=360x360,https://twitter.com/Sidemen/status/1715005262707191997/photo/2,https://twitter.com/Sidemen/status/1715005262707191997/photo/3,,,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,What a journey,https://twitter.com/Sidemen/status/1714974003381547255,Oct 19,,https://pbs.twimg.com/media/F8zPxA3X0AABYXc?format=jpg&name=small,233,1.7K,27K,https://twitter.com/Sidemen/status/1714974003381547255/analytics,1.7M,,https://twitter.com/Sidemen/status/1714974003381547255/media_tags,,,,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,@Sidemen,·,"SIDEMEN DESCRIBE YOUTUBERS IN ONE WORD

Watch now on MoreSidemen",https://twitter.com/Sidemen/status/1714607307466654181,Oct 18,42,https://pbs.twimg.com/media/F8uCQghWIAADOsD?format=jpg&name=small,29,3.6K,360K,,,,,https://twitter.com/Sidemen/status/1714607307466654181/analytics,,,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,@Sidemen,·,Host Harry’s back… you know it’s gonna be chaotic,https://twitter.com/Sidemen/status/1713609421555630198,Oct 15,88,https://pbs.twimg.com/media/F8f2r1fWgAE-NtP?format=jpg&name=small,350,16K,771K,https://twitter.com/Sidemen/status/1713609421555630198/media_tags,and 6 others,,,https://twitter.com/Sidemen/status/1713609421555630198/analytics,,Harry,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,Live now on YouTube,https://twitter.com/Sidemen/status/1713609660379365841,Oct 15,,,9,2,499,https://twitter.com/Sidemen/status/1713609660379365841/analytics,78K,,,,,,,,
https://twitter.com/KSI,https://pbs.twimg.com/profile_images/1631922736959475713/P543dkC5_bigger.jpg,https://twitter.com/KSI,ksi,@KSI,·,https://twitter.com/KSI/status/1713480693596999791,Oct 15,Appreciate all the kind messages from everyone. In the ring and watching it back I feel like I should have won. Either way I feel like I accomplished what I wanted to in the end. This little untalented nerd was able go toe to toe with a professional boxer. Use me as the living…,https://pbs.twimg.com/media/F8eBmuXW4AAmXoN?format=jpg&name=small,9.1K,15K,268K,https://twitter.com/KSI/status/1713480693596999791/analytics,24M,https://pbs.twimg.com/media/F8eBmuWXkAAN3L7?format=jpg&name=small,https://twitter.com/KSI/status/1713480693596999791/photo/2,,,Sidemen,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,More announcements let’s goooo,https://twitter.com/Sidemen/status/1713241391692665055,Oct 14,,https://pbs.twimg.com/media/F8an9lfXEAE9h_8?format=jpg&name=small,216,1.4K,50K,https://twitter.com/Sidemen/status/1713241391692665055/analytics,1.8M,,https://twitter.com/Sidemen/status/1713241391692665055/media_tags,,,,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,"In case you missed it... 
'SIDEMEN PRO CLUBS VS FULL XI' IS LIVE NOW ON MORESIDEMEN",https://twitter.com/Sidemen/status/1712834279799959781,Oct 13,,https://pbs.twimg.com/media/F8Tyxs-XIAAISj1?format=jpg&name=small,32,68,5.7K,https://twitter.com/Sidemen/status/1712834279799959781/analytics,400K,,,,,,,,
https://twitter.com/eatsides,https://pbs.twimg.com/profile_images/1477301744883408904/CrDLtyc4_bigger.jpg,https://twitter.com/eatsides,Sides,@eatsides,·,https://twitter.com/eatsides/status/1712193086678299115,Oct 12,WIN KSI V TOMMY FURY TICKETS,https://pbs.twimg.com/media/F8LtOcOXAAEHA8h?format=jpg&name=small,1.3K,1.8K,4.4K,https://twitter.com/eatsides/status/1712193086678299115/analytics,658K,,https://twitter.com/eatsides/status/1712193086678299115,https://twitter.com/eatsides,,Sidemen,"Prime Card tickets all you have to do is:

1) RT & LIKE this post 
2) Follow",Fancy being at the biggest boxing event of the year? Of course you do…For your chance to win 2 x,https://abs-0.twimg.com/emoji/v2/svg/1f94a.svg
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,Ethan making sure our guest felt welcome,https://twitter.com/Sidemen/status/1712434074306900337,Oct 12,,https://pbs.twimg.com/media/F8PJOcgXQAAEWIV?format=jpg&name=small,67,130,12K,https://twitter.com/Sidemen/status/1712434074306900337/analytics,578K,,https://twitter.com/Sidemen/status/1712434074306900337/media_tags,,,,,,
