UserId,Tweet_Url,Date-Time,LIkes,Comments,Retweets,,Tweets
@wylieesofia,https://twitter.com/wylieesofia/status/1725143740681969819,23h,14,,,331,she means so much to me i love her :(
@wylieesofia,https://twitter.com/wylieesofia/status/1725190795500658925,20h,3,40,,698,ur welcome
@wylieesofia,https://twitter.com/wylieesofia/status/1725143740681969819,23h,14,,,331,she means so much to me i love her :(
@wylieesofia,https://twitter.com/wylieesofia/status/1725077366425198934,Nov-16,4,,,248,goodmorning <3
@truecastaways,https://twitter.com/truecastaways/status/1725050641490366470,Nov-16,1,18,193,4.5K,the biggest lie in the fandom is that jack would ever stand a chance against ricky bowen. it’s ricky for gina. it’s always been ricky. it’s always going to be ricky.
@wylieesofia,https://twitter.com/wylieesofia/status/1724954040717410355,Nov-16,5,@wylieesofia,@lucygrayzegler,433,Was tagged by
@wylieesofia,https://twitter.com/wylieesofia/status/1724927728372117958,Nov-16,1,20,200,3K,“if only i’d known my damn line” i can’t with him
@wylieesofia,https://twitter.com/wylieesofia/status/1724920258350215214,Nov-16,9,,,220,goodnight <3
@wylieesofia,https://twitter.com/wylieesofia/status/1724912563815612698,Nov-16,2,,,156,WHY
@wylieesofia,https://twitter.com/wylieesofia/status/1724927728372117958,Nov-16,1,20,200,3K,“if only i’d known my damn line” i can’t with him
@wylieesofia,https://twitter.com/wylieesofia/status/1724912266712092747,Nov-16,3,16,,259,life is so stupid without them
@wylieesofia,https://twitter.com/wylieesofia/status/1724927728372117958,Nov-16,1,20,200,3K,“if only i’d known my damn line” i can’t with him
@wylieesofia,https://twitter.com/wylieesofia/status/1724911749147553872,Nov-16,1,38,240,3K,they’re so pretty kissers i’m gonna pass out
@wylieesofia,https://twitter.com/wylieesofia/status/1724910090812092842,Nov-16,4,,,166,i’m not doing well
@wylieesofia,https://twitter.com/wylieesofia/status/1724912266712092747,Nov-16,3,16,,259,life is so stupid without them
@wylieesofia,https://twitter.com/wylieesofia/status/1724911749147553872,Nov-16,1,38,240,3K,they’re so pretty kissers i’m gonna pass out
@wylieesofia,https://twitter.com/wylieesofia/status/1724909483535548904,Nov-16,21,0:04,,299,she’s so
@wylieesofia,https://twitter.com/wylieesofia/status/1724908274812944673,Nov-16,7,,,366,yes real
@wylieesofia,https://twitter.com/wylieesofia/status/1724905801905750112,Nov-16,1,11,,898,there’s only one right answer to this and that is noah schnapp
@wylieesofia,https://twitter.com/wylieesofia/status/1724903787637440534,Nov-16,4,49,,1.1K,do i need to say more?
@wylieesofia,https://twitter.com/wylieesofia/status/1724903456115392833,Nov-16,13,39,328,10K,imagine what it would’ve been like if the love triangle in s3 would’ve been them and ricky
@wylieesofia,https://twitter.com/wylieesofia/status/1724900982432452907,Nov-16,3,37,,477,i still need the wide screen version of this blooper reel like where is it??
@wylieesofia,https://twitter.com/wylieesofia/status/1724909483535548904,Nov-16,21,0:04,,299,she’s so
@wylieesofia,https://twitter.com/wylieesofia/status/1724903787637440534,Nov-16,4,49,,1.1K,do i need to say more?
@wylieesofia,https://twitter.com/wylieesofia/status/1724899596789575839,Nov-16,1,,,155,no.
@wylieesofia,https://twitter.com/wylieesofia/status/1724903787637440534,Nov-16,4,49,,1.1K,do i need to say more?
@wylieesofia,https://twitter.com/wylieesofia/status/1724903456115392833,Nov-16,13,39,328,10K,imagine what it would’ve been like if the love triangle in s3 would’ve been them and ricky
@wylieesofia,https://twitter.com/wylieesofia/status/1724899419861250138,Nov-16,7,,,178,sofia laughing at josh’s jokes is so me
@wylieesofia,https://twitter.com/wylieesofia/status/1724898034168057921,Nov-16,2,32,,395,“i’m rolling in the shiitt” josh is so
@wylieesofia,https://twitter.com/wylieesofia/status/1724886401710440691,Nov-16,19,,,255,they know they ate this so hard
@wylieesofia,https://twitter.com/wylieesofia/status/1724903456115392833,Nov-16,13,39,328,10K,imagine what it would’ve been like if the love triangle in s3 would’ve been them and ricky
@wylieesofia,https://twitter.com/wylieesofia/status/1724900982432452907,Nov-16,3,37,,477,i still need the wide screen version of this blooper reel like where is it??
@wylieesofia,https://twitter.com/wylieesofia/status/1724898034168057921,Nov-16,2,32,,395,“i’m rolling in the shiitt” josh is so
@wylieesofia,https://twitter.com/wylieesofia/status/1724886203462303872,Nov-16,35,,,386,sofia wylie’s face card needs to be studied
@wylieesofia,https://twitter.com/wylieesofia/status/1724885275535376667,Nov-16,71,,,1K,she most certainly is
@wylieesofia,https://twitter.com/wylieesofia/status/1724873469001703456,Nov-16,,,,176,"we’ve got so much bts, this is making me miss them even more idk if i can do this anymore"
@wylieesofia,https://twitter.com/wylieesofia/status/1724898034168057921,Nov-16,2,32,,395,“i’m rolling in the shiitt” josh is so
