userId_url,profile_photo,UserIdUrl,Username,UserId,Tweet_Url,Date-time,Tweets,Comments,Retweets,Likes,Impressions
https://twitter.com/YouTube,https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_bigger.jpg,https://twitter.com/YouTube,YouTube,@YouTube,https://twitter.com/YouTube/status/1610442680647176194,Jan 4,this year i’m gonna,1.3K,183,1.5K,717K
https://twitter.com/YouTube,https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_bigger.jpg,https://twitter.com/YouTube,YouTube,@YouTube,https://twitter.com/YouTube/status/1610425794119049217,Jan 4,the first step to caring for others is caring for yourself,455,530,4.2K,983K
https://twitter.com/YouTube,https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_bigger.jpg,https://twitter.com/YouTube,YouTube,@YouTube,https://twitter.com/YouTube/status/1610335183516966913,Jan 3,*pauses another video* now THIS is the best part of 2023 so far,200,125,2K,661K
https://twitter.com/YouTube,https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_bigger.jpg,https://twitter.com/YouTube,YouTube,@YouTube,https://twitter.com/YouTube/status/1610033192672559104,Jan 3,manifesting a nap,658,336,3.6K,1M
https://twitter.com/YouTube,https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_bigger.jpg,https://twitter.com/YouTube,YouTube,@YouTube,https://twitter.com/YouTube/status/1609972796326645761,Jan 2,what creator has the cutest pet?,2.9K,474,10K,3.4M
https://twitter.com/YouTube,https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_bigger.jpg,https://twitter.com/YouTube,YouTube,@YouTube,https://twitter.com/YouTube/status/1609685903617687556,Jan 2,first creator you’re watching in 2023?,9.5K,1.4K,20K,4.4M
https://twitter.com/YouTube,https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_bigger.jpg,https://twitter.com/YouTube,YouTube,@YouTube,https://twitter.com/YouTube/status/1609640607407919110,Jan 2,it’s like 2022 was just yesterday,949,769,9K,1.4M
https://twitter.com/YouTube,https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_bigger.jpg,https://twitter.com/YouTube,YouTube,@YouTube,https://twitter.com/YouTube/status/1609293318545883139,Jan 1,next year already has 20.23M views omg,1.6K,313,8K,1.4M
https://twitter.com/YouTube,https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_bigger.jpg,https://twitter.com/YouTube,YouTube,@YouTube,https://twitter.com/YouTube/status/1609263136498159616,Jan 1,"to celebrate all of our faves of 2022, here’s a thread of *your* picks for creators of the year!!",1.5K,1.7K,21K,4.2M
https://twitter.com/i/status/1609263136498159616,,,Show more replies,,,,,,,,
