userId_url,profile_photo,username,attached_media,UserId,Tweet_Url,date-time,Tweets,css-4rbku5 href 5,css-9pa8cd src 3,Comments,Retweets,Likes,Impressions
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720138832165642509,9h,Nigeria's House of Representatives reject plan to buy presidential yacht,https://t.co/dpoQJvuMMY,https://pbs.twimg.com/card_img/1720138833587589120/xOj7eEQr?format=jpg&name=small,80,52,174,176K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720138831737864553,9h,German vice-chancellor Habeck hits out against rising antisemitism,https://t.co/5Y61RyN8Tl,https://pbs.twimg.com/card_img/1720138833012895744/SF4lzFlE?format=jpg&name=small,79,47,207,124K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720130545957347712,10h,Tupac Shakur: Duane Davis pleads not guilty to murder,https://t.co/ozQZnsIZko,https://pbs.twimg.com/card_img/1720130547438047232/8BxeR5qA?format=jpg&name=small,70,34,128,127K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720090150728859776,12h,Woman arrested after running up to plane on tarmac,https://t.co/RDoZfiCSZQ,https://pbs.twimg.com/card_img/1720083817178767360/AxIlrwZ2?format=jpg&name=small,85,53,233,223K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720085249722314806,13h,Damage and disruption: Storm Ciarán in pictures,https://t.co/Aodwi6lhuj,https://pbs.twimg.com/card_img/1720085251584598016/mNlUp-sV?format=jpg&name=small,36,32,86,155K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720071875156471864,14h,Why are dozens of US birds being renamed?,https://t.co/T59YLmIOim,https://pbs.twimg.com/card_img/1720070509046509568/KfKXb8Ko?format=jpg&name=small,167,91,218,274K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720068269493674478,14h,"Taylor Tomlinson: Comedian, 29, fills James Corden's late TV show slot",https://t.co/IhqPZ4P8b1,https://pbs.twimg.com/card_img/1720040252302090240/fw0-m7gj?format=jpg&name=small,91,88,684,395K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720066743123501175,14h,UK PM Rishi Sunak meets world leaders and tech firms at AI summit,https://t.co/V8Gx0sYIPj,https://pbs.twimg.com/card_img/1720050572554866688/k8aQKD2v?format=jpg&name=small,137,33,139,154K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720066047800160481,14h,South Africa's rugby team begin World Cup victory tour,https://t.co/YjQIaIittP,https://pbs.twimg.com/card_img/1720066049184337920/w3_Ai9nE?format=jpg&name=small,43,18,156,132K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720063473596399632,14h,Migrant caravan heading through Mexico to US grows in numbers,https://t.co/Vnf2Hh6BhD,https://pbs.twimg.com/card_img/1720038560072437760/czcERail?format=jpg&name=small,119,54,174,165K
