userId_url,UserId_Url,UserId,UserId,Tweet_Url,date-time,css-4rbku5 2,css-4rbku5 href 5,css-4rbku5 3,css-4rbku5 href 6,css-4rbku5 4,css-4rbku5 href 7,css-4rbku5 href 8,css-4rbku5 href 9,attached_media,tweets,Comments,css-4rbku5 href 10,Impressions,css-4rbku5 href 11,Tweets,likes,Likes,Retweets
https://twitter.com/timesofindia,https://twitter.com/timesofindia,The Times Of India,@timesofindia,https://twitter.com/timesofindia/status/1720161353284116891,9h,#Israel,https://twitter.com/hashtag/Israel?src=hashtag_click,,,,,,https://t.co/IuYeG8ExOA,https://pbs.twimg.com/card_img/1719714487580917761/_wFHlbZe?format=jpg&name=small,timesofindia.indiatimes.com,27,https://twitter.com/timesofindia/status/1720161353284116891/analytics,27K,,What,can learn from India's 26/11 response,3,31
https://twitter.com/timesofindia,https://twitter.com/timesofindia,The Times Of India,@timesofindia,https://twitter.com/timesofindia/status/1720153809144742201,9h,,,,,,,,https://t.co/N5IySwWEXz,https://pbs.twimg.com/card_img/1720004034759966720/NajCGBC2?format=jpg&name=small,timesofindia.indiatimes.com,1,https://twitter.com/timesofindia/status/1720153809144742201/analytics,5.6K,,The Supreme Court’s handling of a mother-of-two’s plea to abort a 26-week pregnancy also highlights the challenges of getting an abortion in a country that believes it has a liberalised system in place,,4,
https://twitter.com/timesofindia,https://twitter.com/timesofindia,The Times Of India,@timesofindia,https://twitter.com/timesofindia/status/1720146254930522409,10h,,,,,,,,https://t.co/dixr5EeAyP,https://pbs.twimg.com/card_img/1719785905118932992/U1-dyBCm?format=jpg&name=small,timesofindia.indiatimes.com,19,https://twitter.com/timesofindia/status/1720146254930522409/analytics,16K,,Qatar’s double-game as peace broker and terror safe haven,,29,86
https://twitter.com/TOIPlus,https://twitter.com/TOIPlus,TOI Plus,@TOIPlus,https://twitter.com/TOIPlus/status/1720100956606759227,13h,,,,,,,,https://t.co/mLRtgHQ3gR,https://pbs.twimg.com/card_img/1720050971642920961/koRFB_ze?format=jpg&name=small,timesofindia.indiatimes.com,5,https://twitter.com/TOIPlus/status/1720100956606759227/analytics,5.6K,https://twitter.com/timesofindia,"Recently released govt data dents the common perception that cops manage traffic better than traffic lights. In 2022, fatalities at police-managed intersections increased by 17% over the previous year. Read on",,2,9
https://twitter.com/timesofindia,https://twitter.com/timesofindia,The Times Of India,@timesofindia,https://twitter.com/timesofindia/status/1720137556594135211,11h,,,,,,,,https://t.co/4v1ALwOSgH,https://pbs.twimg.com/card_img/1720137550982152192/ipfmmrAd?format=jpg&name=small,timesofindia.indiatimes.com,1,https://twitter.com/timesofindia/status/1720137556594135211/analytics,8.3K,,Vivid blue diamond could sell for $50 million at Christie's auction,,9,
https://twitter.com/toisports,https://twitter.com/toisports,TOI Sports,@toisports,https://twitter.com/toisports/status/1720131109416251657,11h,,,,,,,,https://twitter.com/toisports/status/1720131109416251657/photo/1,https://pbs.twimg.com/media/F98h2I8a0AALZFK?format=jpg&name=small,Rugby India,1,https://twitter.com/toisports/status/1720131109416251657/analytics,6.5K,https://twitter.com/timesofindia,Exciting Times for Rugby India!,"EXCLUSIVE: Get ready for the 2023 Asia Rugby Sevens Trophy with 22 teams from 17 countries. Rugby India is aiming high, expecting a gold in the women's category and a top-four finish in the men's!",4,21
https://twitter.com/toisports,https://twitter.com/toisports,TOI Sports,@toisports,https://twitter.com/toisports/status/1720127155667882102,11h,#CWC23,https://twitter.com/hashtag/CWC23?src=hashtag_click,#INDvSL,https://twitter.com/hashtag/INDvSL?src=hashtag_click,#ShreyasIyer,https://twitter.com/hashtag/ShreyasIyer?src=hashtag_click,https://twitter.com/hashtag/ICCWorldCup2023?src=hashtag_click,https://twitter.com/toisports/status/1720127155667882102/photo/1,https://pbs.twimg.com/media/F98ed4nbMAABHbo?format=jpg&name=small,Shreyas Iyer,1,https://twitter.com/toisports/status/1720127155667882102/analytics,6.4K,https://twitter.com/timesofindia,,,2,21
https://twitter.com/toisports,https://twitter.com/toisports,TOI Sports,@toisports,https://twitter.com/toisports/status/1720123891740516429,11h,#INDvsSL,https://twitter.com/hashtag/INDvsSL?src=hashtag_click,#INDvSL,https://twitter.com/hashtag/INDvSL?src=hashtag_click,#CWC23,https://twitter.com/hashtag/CWC23?src=hashtag_click,https://twitter.com/hashtag/ODIWorldCup2023?src=hashtag_click,https://t.co/R8SEhxq76i,https://pbs.twimg.com/card_img/1720123694809554944/L7yiNtu7?format=jpg&name=small,timesofindia.indiatimes.com,2,https://twitter.com/toisports/status/1720123891740516429/analytics,6.3K,https://twitter.com/timesofindia,,,4,31
https://twitter.com/toisports,https://twitter.com/toisports,TOI Sports,@toisports,https://twitter.com/toisports/status/1720121368833101924,12h,#ODIWorldCup,https://twitter.com/hashtag/ODIWorldCup?src=hashtag_click,#RohitSharma,https://twitter.com/hashtag/RohitSharma?src=hashtag_click,#INDvSL,https://twitter.com/hashtag/INDvSL?src=hashtag_click,https://twitter.com/hashtag/WorldCup2023?src=hashtag_click,https://twitter.com/toisports/status/1720121368833101924/photo/1,https://pbs.twimg.com/media/F98ZJCubAAAVcKL?format=jpg&name=small,ICC Cricket World Cup,4,https://twitter.com/toisports/status/1720121368833101924/analytics,5.7K,https://twitter.com/timesofindia,Happy to achieve our first goal of reaching the,semifinals:,3,41
https://twitter.com/timesofindia,https://twitter.com/timesofindia,The Times Of India,@timesofindia,https://twitter.com/timesofindia/status/1720136705595015628,11h,,,,,,,,https://t.co/XqoA4apHIH,https://pbs.twimg.com/card_img/1720136625706127360/ujT2r3S2?format=jpg&name=small,gadgetsnow.com,3,https://twitter.com/timesofindia/status/1720136705595015628/analytics,5.2K,,Meta Horizon Worlds gets built-in chat feature in Quest mixed-reality headset,via,,
